Project Name,Hours,Amount,Date
4774 Alto Shaam : Self Serve Oven Firmware,1,175,1/3/2024
4774 Alto Shaam : Self Serve Oven Firmware,6,1170,2/9/2024
4774 Alto Shaam : Self Serve Oven Firmware,7.25,1400,2/29/2024
4774 Alto Shaam : Self Serve Oven Firmware,7,1357.5,2/20/2024
4774 Alto Shaam : Self Serve Oven Firmware,5,975,3/1/2024
4774 Alto Shaam : Self Serve Oven Firmware,7,1365,4/4/2024
4774 Alto Shaam : Self Serve Oven Firmware,6,1170,2/14/2024
4774 Alto Shaam : Self Serve Oven Firmware,4.25,828.75,3/11/2024
4774 Alto Shaam : Self Serve Oven Firmware,7.25,1410,4/16/2024
4774 Alto Shaam : Self Serve Oven Firmware,4,780,4/20/2024
4774 Alto Shaam : Self Serve Oven Firmware,2.75,536.25,1/31/2024
4774 Alto Shaam : Self Serve Oven Firmware,6,1051.25,3/8/2024
4774 Alto Shaam : Self Serve Oven Firmware,5,967.5,2/2/2024
4774 Alto Shaam : Self Serve Oven Firmware,5,975,2/12/2024
4774 Alto Shaam : Self Serve Oven Firmware,2.5,483.75,4/2/2024
4774 Alto Shaam : Self Serve Oven Firmware,5.75,1117.5,4/23/2024
4774 Alto Shaam : Self Serve Oven Firmware,2,380,4/26/2024
4800 Enovation Controls : Map Tile Update Support,0.5,90,3/11/2024
4806 Alto Shaam : ChefLinc for Service,4,780,3/22/2024
4806 Alto Shaam : ChefLinc for Service,6.75,1316.25,3/12/2024
4806 Alto Shaam : ChefLinc for Service,3.5,682.5,3/15/2024
4806 Alto Shaam : ChefLinc for Service,6,1170,3/18/2024
4806 Alto Shaam : ChefLinc for Service,6.75,1316.25,3/14/2024
4806 Alto Shaam : ChefLinc for Service,3,585,4/10/2024
4806 Alto Shaam : ChefLinc for Service,7.5,1462.5,4/12/2024
4806 Alto Shaam : ChefLinc for Service,7.25,1413.75,4/11/2024
4806 Alto Shaam : ChefLinc for Service,3.25,633.75,4/9/2024
4806 Alto Shaam : ChefLinc for Service,3.5,682.5,3/21/2024
4806 Alto Shaam : ChefLinc for Service,6.25,1218.75,4/8/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.25,1343.75,5/10/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6,1286.25,6/4/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5.5,1182.5,5/23/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5.75,1236.25,6/17/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,2.25,467.5,7/9/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,3.5,748.75,7/11/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5.5,1171.25,5/9/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5.5,1178.75,6/6/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,3.5,752.5,6/21/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.25,910,7/2/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4,856.25,6/11/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4,860,7/8/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,8,1720,5/28/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,3.5,752.5,7/1/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,3.5,752.5,7/3/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5,1075,6/7/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.5,1397.5,6/5/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.5,1393.75,6/18/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,0.25,50,6/20/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.75,1021.25,6/19/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,3,626.25,6/24/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6,1286.25,6/25/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4,860,6/28/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4,847.5,7/10/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.75,1447.5,5/17/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,0.25,50,5/29/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.25,913.75,5/20/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.25,913.75,5/22/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,7,1501.25,6/27/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.75,1021.25,6/14/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.75,1013.75,5/7/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.25,1340,5/30/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,7.5,1612.5,5/31/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.25,1343.75,6/26/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.75,1021.25,6/3/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4.75,1021.25,6/10/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,6.75,1447.5,5/14/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5.5,1178.75,5/24/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,1.75,372.5,6/13/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,3.5,752.5,6/12/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,1.25,268.75,7/12/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,2.25,483.75,5/13/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,1.25,268.75,5/15/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,4,835,5/8/2024
4818 Alto Shaam : Merger Driven ChefLinc Changes,5.5,1178.75,5/21/2024
4834 Alto Shaam : ChefLinc Penetration Testing,1,190,6/10/2024
4834 Alto Shaam : ChefLinc Penetration Testing,0.5,95,6/18/2024
4834 Alto Shaam : ChefLinc Penetration Testing,1.75,332.5,6/14/2024
4836 Enovation Controls : BRP Global Mapping Data,0.75,161.25,8/21/2024
4836 Enovation Controls : BRP Global Mapping Data,0.25,53.75,7/31/2024
4836 Enovation Controls : BRP Global Mapping Data,6.25,1343.75,7/30/2024
4836 Enovation Controls : BRP Global Mapping Data,4.75,1021.25,8/1/2024
4836 Enovation Controls : BRP Global Mapping Data,5.75,1236.25,7/23/2024
4836 Enovation Controls : BRP Global Mapping Data,2.25,471.25,7/8/2024
4836 Enovation Controls : BRP Global Mapping Data,0.25,47.5,8/5/2024
4836 Enovation Controls : BRP Global Mapping Data,4,860,7/10/2024
4836 Enovation Controls : BRP Global Mapping Data,5.25,1128.75,7/12/2024
4836 Enovation Controls : BRP Global Mapping Data,4.5,967.5,7/11/2024
4836 Enovation Controls : BRP Global Mapping Data,1,190,9/5/2024
4836 Enovation Controls : BRP Global Mapping Data,7.25,1552.5,7/22/2024
4836 Enovation Controls : BRP Global Mapping Data,8,1713.75,7/18/2024
4836 Enovation Controls : BRP Global Mapping Data,0.5,67.5,9/11/2024
4836 Enovation Controls : BRP Global Mapping Data,0.75,161.25,9/13/2024
4836 Enovation Controls : BRP Global Mapping Data,0.5,107.5,9/17/2024
4836 Enovation Controls : BRP Global Mapping Data,0.25,47.5,9/4/2024
4836 Enovation Controls : BRP Global Mapping Data,2,430,8/2/2024
4836 Enovation Controls : BRP Global Mapping Data,2.5,537.5,7/26/2024
4836 Enovation Controls : BRP Global Mapping Data,1.5,322.5,10/8/2024
4836 Enovation Controls : BRP Global Mapping Data,5,1075,8/6/2024
4836 Enovation Controls : BRP Global Mapping Data,1,215,8/16/2024
